MIC,ticker,CIK,ISIN,GICS Sector,GICS Industry
XNYS,EGP,0000049600,US2772761019,60,601025
XNYS,FCX,0000831259,US35671D8570,15,151040
XNYS,AKO.B,0000925261,US29081P3038,30,302010
XNYS,KSS,0000885639,US5002551043,25,255030
XNYS,MODG,0000837465,US1311931042,25,252020
XNYS,MTX,0000891014,US6031581068,15,151010
XNYS,ETD,0000896156,US2976021046,25,252010
XNYS,KEY,0000091576,US4932671088,40,401010
XNYS,FCF,0000712537,US3198291078,40,401010
XNYS,TRV,0000086312,US89417E1091,40,403010
XNGS,EVRG,0001711269,US30034W1062,55,551010
XNYS,BSX,0000885725,US1011371077,35,351010
XNYS,GES,0000912463,US4016171054,25,255040
XNYS,AOS,0000091142,US8318652091,20,201020
XNYS,TWI,0000899751,US88830M1027,20,201060
XNYS,LH,0000920148,US5049221055,35,351020
XNYS,OHI,0000888491,US6819361006,60,601050
XNYS,CPK,0000019745,US1653031088,55,551020
XNYS,MD,0000893949,US58502B1061,35,351020
XNYS,CUZ,0000025232,US2227955026,60,601040
XNYS,BDC,0000913142,US0774541066,45,452030
XNYS,TEO,0000932470,US8792732096,50,501010
XNYS,ALB,0000915913,US0126531013,15,151010
XNYS,MATV,0001000623,US8085411069,15,151010
XNYS,MAC,0000912242,US5543821012,60,601070
XNGS,WEN,0000030697,US95058W1009,25,253010
XNYS,MHO,0000799292,US55305B1017,25,252010
XNYS,SITC,0000894315,US82981J8514,60,601070
XNYS,SAM,0000949870,US1005571070,30,302010
XNYS,STM,0000932787,US8610121027,45,453010
XNYS,ATR,0000896622,US0383361039,15,151030
XNYS,FICO,0000814547,US3032501047,45,451030
XNYS,KRC,0001025996,US49427F1084,60,601040
XNYS,CAH,0000721371,US14149Y1082,35,351020
XNYS,BBAR,0000913059,US0589341009,40,401010
XNYS,CPT,0000906345,US1331311027,60,601060
XNYS,MTW,0000061986,US5635714059,20,201060
XNYS,SKT,0000899715,US8754651060,60,601070
XNYS,MTH,0000833079,US59001A1025,25,252010
XNYS,BVN,0001013131,US2044481040,15,151040
XNYS,RIO,0000887028,US7672041008,15,151040
XNYS,MCS,0000062234,US5663301068,50,502020
XNYS,WLY,0000107140,US9682232064,50,502010
XNYS,VYX,0000070866,US62886E1082,45,451030
XNYS,ESS,0000920522,US2971781057,60,601060
XNYS,ALV,0001034670,US0528001094,25,251010
XNYS,HIW,0000921082,US4312841087,60,601040
XNYS,ANF,0001018840,US0028962076,25,255040
XNYS,THG,0000944695,US4108671052,40,403010
XNYS,SPB,0000109177,US84790A1051,30,303010
XNYS,BZH,0000915840,US07556Q8814,25,252010
XNYS,COF,0000927628,US14040H1059,40,402020
XNYS,WSO,0000105016,US9426222009,20,201070
XNYS,LXP,0000910108,US5290431015,60,601025
XNYS,ADC,0000917251,US0084921008,60,601070
XNGS,SSP,0000832428,US8110544025,50,502010
XNYS,CWT,0001035201,US1307881029,55,551040
XNYS,EXP,0000918646,US26969P1084,15,151020
XNYS,SMG,0000825542,US8101861065,15,151010
XNYS,C,0000831001,US1729674242,40,401010
XNYS,NSP,0001000753,US45778Q1076,20,202020
XNYS,TGS,0000931427,US8938702045,10,101020
XNYS,RELX,0000863838,US7595301083,20,202020
XNYS,MCY,0000064996,US5894001008,40,403010
XNYS,MAA,0000912595,US59522J1034,60,601060
XNYS,ELP,0001041792,US20441B6056,55,551010
XNYS,GBX,0000923120,US3936571013,20,201060
XNYS,MCK,0000927653,US58155Q1031,35,351020
XNYS,RS,0000861884,US7595091023,15,151040
XNYS,DX,0000826675,US26817Q8868,40,402040
XNYS,VRE,0000924901,US5544891048,60,601060
XNYS,HEI,0000046619,US4228061093,20,201010
XNYS,SCCO,0001001838,US84265V1052,15,151040
XNYS,NPKI,0000071829,US6517185046,10,101010
XNYS,PKX,0000889132,US6934831099,15,151040
XNYS,FR,0000921825,US32054K1034,60,601025
XNGS,SVC,0000945394,US81761L1026,60,601030
XNYS,WTS,0000795403,US9427491025,20,201060
XNYS,AIV,0000922864,US03748R7474,60,601060
XNYS,CYD,0000932695,BMG210821051,20,201060
XNYS,TBI,0000768899,US89785X1019,20,202020
XNYS,CBU,0000723188,US2036071064,40,401010
XNYS,STT,0000093751,US8574771031,40,402030
XNYS,BRK.A,0001067983,US0846701086,40,402010
XNYS,DHI,0000882184,US23331A1097,25,252010
XNGS,ROP,0000882835,US7766961061,45,451030
XNYS,EPAC,0000006955,US2927651040,20,201060
XNYS,GFF,0000050725,US3984331021,20,201020
XNYS,IRS,0000938179,US4500473032,60,602010
XNYS,MTN,0000812011,US91879Q1094,25,253010
XNYS,DGX,0001022079,US74834L1008,35,351020
XNYS,SON,0000091767,US8354951027,15,151030
XNYS,CHH,0001046311,US1699051066,25,253010
XNYS,EG,0001095073,BMG3223R1088,40,403010
XNYS,INGR,0001046257,US4571871023,30,302020
XNYS,PII,0000931015,US7310681025,25,252020
XNYS,MSM,0001003078,US5535301064,20,201070
XNYS,AEE,0001002910,US0236081024,55,551030
XNYS,LMT,0000936468,US5398301094,20,201010
XNYS,AFG,0001042046,US0259321042,40,403010
XNYS,WAB,0000943452,US9297401088,20,201060
XNYS,IVZ,0000914208,BMG491BT1088,40,402030
XNYS,AZZ,0000008947,US0024741045,20,201020
XNYS,RWT,0000930236,US7580754023,40,402040
XNYS,RVTY,0000031791,US7140461093,35,352030
XNYS,BSAC,0001027552,US05965X1090,40,401010
XNYS,AKO.A,0000925261,US29081P2048,30,302010
XNYS,MLR,0000924822,US6005512040,20,201060
XNYS,HIG,0000874766,US4165151048,40,403010
XNYS,TK,0000911971,BMG8726T1053,10,101020
XNYS,FC,0000886206,US3534691098,20,202020
XNYS,FE,0001031296,US3379321074,55,551010
XNYS,ATI,0001018963,US01741R1023,15,151040
XNYS,AXL,0001062231,US0240611030,25,251010
XNYS,TDY,0001094285,US8793601050,45,452030
XNYS,CIB,0000947331,US05968L1026,40,401010
XNYS,ALG,0000897077,US0113111076,20,201060
XNYS,MS,0000895421,US6174464486,40,402030
XNYS,AES,0000874761,US00130H1059,55,551050
XNYS,RSG,0001060391,US7607591002,20,202010
XNYS,KEX,0000056047,US4972661064,20,203030
XNYS,DCO,0000030305,US2641471097,20,201010
XNYS,CVS,0000064803,US1266501006,35,351020
XNYS,RPM,0000110621,US7496851038,15,151010
XNYS,KWR,0000081362,US7473161070,15,151010
XNYS,BAP,0001001290,BMG2519Y1084,40,401010
XNYS,TTI,0000844965,US88162F1057,10,101010
XNYS,WFC,0000072971,US9497461015,40,401010
